2015-10-02 00:00:00,274
2015-10-02 01:00:00,275
2015-10-02 02:00:00,283
2015-10-02 03:00:00,290
2015-10-02 04:00:00,448
2015-10-02 05:00:00,276
2015-10-02 06:00:00,416
2015-10-02 07:00:00,281
2015-10-02 08:00:00,275
2015-10-02 09:00:00,276
2015-10-02 10:00:00,277
2015-10-02 11:00:00,281
2015-10-02 12:00:00,276
2015-10-02 13:00:00,275
2015-10-02 14:00:00,277
2015-10-02 15:00:00,356
2015-10-02 16:00:00,304
2015-10-02 17:00:00,279
2015-10-02 18:00:00,281
2015-10-02 19:00:00,278
2015-10-02 20:00:00,744
2015-10-02 21:00:00,277
2015-10-02 22:00:00,344
2015-10-02 23:00:00,543
